names,atom_pos,atoms,water_counts
1970,"[1.9347 2.042  9.6819 1.8444 2.0335 9.7239 2.0052 2.033  9.7523 1.97
 2.0081 9.3949 1.9539 2.0098 9.4936 1.9875 2.1011 9.3624]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1594,"[2.0257 2.067  9.3805 1.9645 2.1014 9.3093 2.0966 2.0101 9.3388 1.9695
 2.0495 9.6526 1.975  2.0536 9.5529 1.993  1.9574 9.6835]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1080,"[2.0106 1.9864 9.5874 1.9205 2.0027 9.6275 2.0789 2.0415 9.6353 2.054
 1.9688 9.314  2.0334 1.9427 9.4083 2.1529 1.9662 9.2995]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
430,"[2.0156 2.0135 9.602  2.1035 2.015  9.6497 1.9792 2.1065 9.5963 2.0771
 1.9206 9.3571 2.1221 1.9928 9.3045 2.0557 1.9545 9.4487]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
963,"[2.0492 1.9685 9.5235 2.1239 2.0329 9.5396 1.9851 1.9719 9.6002 1.9563
 1.8715 9.2954 1.8813 1.9276 9.2603 1.9728 1.8943 9.3914]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1781,"[2.0344 1.8786 9.619  2.0491 1.9764 9.6337 2.0204 1.8334 9.7071 2.0455
 1.8588 9.3464 2.061  1.8544 9.4451 1.9767 1.791  9.3204]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
933,"[2.1023 1.9281 9.5817 2.202  1.9233 9.5754 2.076  2.0095 9.6335 2.0177
 1.8555 9.3376 2.0916 1.9137 9.3037 2.0258 1.8458 9.4368]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
885,"[2.1075 1.9044 9.3151 2.1    1.875  9.4104 2.157  1.8351 9.2627 2.0483
 1.8467 9.6193 1.9802 1.8158 9.6857 2.125  1.7826 9.6179]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1762,"[2.0158 1.9539 9.5124 1.9701 1.9019 9.5845 2.033  1.8942 9.434  1.9813
 2.1543 9.321  2.0235 2.0878 9.2593 1.9961 2.1258 9.4158]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1211,"[2.0312 2.0743 9.317  1.9651 2.0665 9.2423 2.0883 1.9924 9.3197 2.0301
 1.9892 9.5652 2.0222 2.0176 9.4697 2.0669 2.0647 9.6195]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1434,"[2.0368 1.9288 9.5961 2.0481 2.0247 9.622  1.9576 1.8906 9.6437 2.049
 1.9345 9.3162 2.0314 1.9375 9.4146 2.0847 1.8444 9.2915]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
